,Date,y_actual 1,y_predict 1,y_actual 2,y_predict 2,y_actual 3,y_predict 3
0,2005-03-14,2.8065999202102185,2.177956465150284,3.710999674180496,2.0084672799842567,4.522900272234597,4.845160725885173
1,2005-03-15,2.8592998924816495,2.1682275894640313,3.821599604886606,2.097680919270176,4.641100107377712,4.858293570520776
2,2005-03-16,2.8179999142120082,2.170137703253191,3.8135996098988225,2.100143582136174,4.584100186877225,4.890016340514521
3,2005-03-17,2.827399909266115,2.1883605048601056,3.850099587030585,2.1407773291552736,4.596800169164175,4.878102208578848
4,2005-03-18,2.827199909371347,2.1333120370697203,3.850699586654669,2.1250798750018554,4.592900174603616,4.895663252807605
5,2005-03-21,2.8269999094765788,2.049415430492794,3.8684995755024882,2.148875500025332,4.640000108911913,4.868596174732074
6,2005-03-22,2.828499908687341,1.9879828110728441,3.8341995969923652,2.1340723142386135,4.5726002029166,4.862295653366985
7,2005-03-23,2.8179999142120082,1.9446100929467391,3.8261996020045816,2.047079980494616,4.546200239737427,4.889394387844109
8,2005-03-24,2.7663999413618026,2.0169386249272376,3.7744996343960295,2.0765787544592516,4.481500329976347,4.8456438626170355
9,2005-03-25,2.7759999363106775,2.0050199974665595,3.7250996653464648,2.129222049968461,4.44750037739711,4.857684118015693
10,2005-03-28,2.7346999580410367,1.9849851847625004,3.7167996705466395,2.183717812885795,4.4556003660998105,4.859064873457097
11,2005-03-29,2.7770999357319033,1.9780829353708902,3.716699670609292,2.167043608379089,4.4678003490841265,4.8330247961442
12,2005-03-30,2.7562999466760063,2.0179391930880035,3.6753996964848583,2.0727420577613134,4.421500413660046,4.80088648112453
13,2005-03-31,2.756099946781238,2.082605349737606,3.716599670671945,2.2151243276544115,4.4802003317894945,4.78397476172308
14,2005-04-01,2.7657999416774977,2.1409744690418933,3.74119965525938,2.2728815063320846,4.468300348386761,4.82458400074528
15,2005-04-04,2.744999952621601,2.2571848109474755,3.7161996709225558,2.1634394214564923,4.428000404594312,4.8653655443968145
16,2005-04-05,2.7564999465707745,2.008455460849234,3.682899691785906,2.0972350218409503,4.351800510872608,4.854325879155072
17,2005-04-06,2.7665999412565707,1.9047756421213267,3.649499712711909,2.078842014506462,4.359900499575309,4.827121566358488
18,2005-04-07,2.7663999413618026,1.768664840621073,3.549499775364613,2.1005689304199517,4.308000571961707,4.829858279904778
19,2005-04-08,2.7759999363106775,1.7627567022846344,3.490199812517666,2.0944049478651445,4.240600665966394,4.922475968544571
20,2005-04-11,2.8682998877462205,1.7867799671601343,3.548299776116445,2.211585593565463,4.270400624403492,4.900209263787995
21,2005-04-12,2.9004998708039067,1.7105522496609757,3.5061998024932337,2.183401489234808,4.210900707389825,4.889602830771922
22,2005-04-13,2.8590998925868814,1.6715136654207274,3.480699818469673,2.203191172515202,4.185300743094869,4.8917136920235755
23,2005-04-14,2.8794998818532416,1.7876896260710828,3.622799729440181,2.245159948043865,4.294500590790539,4.850566919182534
24,2005-04-15,2.9095998660158617,1.8648028732971262,3.5969997456045784,2.2121323340232735,4.244900659969063,4.845640411716693
25,2005-04-18,2.8785998823267844,1.864442181644267,3.630399724678575,2.215903102212901,4.246900657179606,4.821557400886312
26,2005-04-19,2.9004998708039067,1.8989494070716397,3.6471997141529213,2.2817086961908686,4.264900632074497,4.77179518824248
27,2005-04-20,2.8693998871674458,1.8230274391865096,3.613099735517493,2.2026142742837482,4.223200690234667,4.8071574935523245
28,2005-04-21,2.8691998872726776,1.7887816132531609,3.559399769161995,2.274279228762249,4.144200800418202,4.809624134082176
29,2005-04-22,2.889099876802117,1.8312540182790464,3.649499712711909,2.336335555045363,4.1976007259397115,4.772135374365725
30,2005-04-25,2.8785998823267844,1.7872844143743878,3.6248997281244737,2.3148175554439234,4.185800742397506,4.779541797109639
31,2005-04-26,2.9004998708039067,1.8006996743010673,3.632999723049605,2.1516908280865805,4.164100772663109,4.796837282270547
32,2005-04-27,2.8385999033731366,1.7964084178620094,3.6082997385248228,2.0418524110816625,4.185900742258032,4.741694392158282
33,2005-04-28,2.7868999305755473,1.8301335405345645,3.542499779750302,2.0624746201574804,4.154300786331446,4.738102250631406
34,2005-04-29,2.858199893060424,1.8278402485055185,3.7155996712984716,2.056047113839295,4.257600642256014,4.725839332699131
35,2005-05-02,2.8476998985850916,1.5908525218768768,3.7488996504351215,2.0254513389665303,4.281600608782535,4.593742710451338
36,2005-05-03,2.8901998762233423,1.4919924227037902,3.665999702374213,2.011730503308316,4.200000722592363,4.588678925528836
37,2005-05-04,2.8590998925868814,1.4241946264821186,3.6742996971740385,2.0308009664980453,4.202000719802907,4.678249001745422
38,2005-05-05,2.8691998872726776,1.6149041073909494,3.6410997179747357,2.1084491471593605,4.170300764015794,4.661992891976625
39,2005-05-06,2.8067999201049867,1.7097153181498816,3.5825997546265675,2.233491458287225,4.117300837936393,4.658888475917516
40,2005-05-09,2.7963999255770386,1.9516440333077112,3.5908997494263932,2.3788651510018655,4.126900824547001,4.658280182615799
41,2005-05-10,2.869599887062214,1.9738344997373538,3.5907997494890465,2.3422911920977154,4.113400843375834,4.632186621689543
42,2005-05-11,2.848799898006317,1.9365231346023646,3.582299754814526,2.2899460494673614,4.088400878244041,4.630532673532319
43,2005-05-12,2.858899892692113,1.9381476064308827,3.6324997233628684,2.118936441592496,4.111500846025818,4.636331238472192
44,2005-05-13,2.8787998822215526,1.9150871299842929,3.6576997075743876,2.013736233092903,4.121000832775899,4.621489947095317
45,2005-05-16,2.8990998715405287,1.9681918957081712,3.615599733951176,2.028508785431316,4.05380092650164,4.629719804875309
